ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
UNIT F11,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,83,75,E,75.43,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"9,960.00",9.96,0.01
UNIT G1,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,142,50,D+,49.73,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,200.00",14.2,0.01
UNIT F21,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,9,87,F+,87.41,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,080.00",1.08,0
UNIT F1,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,36,98,F,98.3,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,320.00",4.32,0
72 Brand Street,,Glasgow,G51 1DJ,Office/Workshop,Offices and Workshop businesses,95,97,F,97.05,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,400.00",11.4,0.01
70 Brand Street,,Glasgow,G51 1DJ,Office/Workshop,Offices and Workshop businesses,115,78,E,77.82,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"13,800.00",13.8,0.01
56-58 Brand Street,,Glasgow,G51 1DJ,General Industrial,General Industrial and Special Industrial Groups,193,83,F+,83.17,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,160.00",23.16,0.02
70-74 Brand Street,,Glasgow,G51 1DJ,General Industrial,General Industrial and Special Industrial Groups,298,129,G,129.01,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"35,760.00",35.76,0.04
74 Brand Street,,74 Brand Street,G51 1DJ,Office/Workshop,Offices and Workshop businesses,95,147,G,146.96,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,400.00",11.4,0.01
Administration Building Ailsa Craig Nursing Home,101,Glasgow,G51 1DJ,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,138,78,E,78.4,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"20,700.00",20.7,0.02
52 & 62 Brand Street,,Glasgow,G51 1DJ,General Industrial,General Industrial and Special Industrial Groups,199,56,D,55.82,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"19,900.00",19.9,0.02
72-74 Brand Street,,Glasgow,G51 1DJ,Office/Workshop,Offices and Workshop businesses,199,110,G,110.05,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"23,880.00",23.88,0.02
Millport Building Ailsa Craig Nursing Home,101,Glasgow,G51 1DJ,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1099,143,G,143.18,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"164,850.00",164.85,0.16
Rothesay Building Ailsa Craig Nursing Home,101,Glasgow,G51 1DJ,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1099,143,G,143.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"164,850.00",164.85,0.16
Bute Building Ailsa Craig Nursing Home,101,Glasgow,G51 1DJ,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1099,143,G,143.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"164,850.00",164.85,0.16
AILSA CRAIG NURSING HOME,101 BRAND STREET,GLASGOW,G51 1DJ,Hospitals/Care Home,C2 Residential Institutions - Hospitals and Care Homes,753,42,C,41.9,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"112,950.00",112.95,0.11
54 & 60 Brand Street,,Glasgow,G51 1DJ,General Industrial,General Industrial and Special Industrial Groups,210,78,E,78.19,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"25,200.00",25.2,0.03
64-68 Brand Street,,Glasgow,G51 1DJ,General Industrial,General Industrial and Special Industrial Groups,295,104,G,103.87,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"35,400.00",35.4,0.04
19 BRAND PLACE,,GLASGOW,G51 1DR,Office/Workshop,Offices and Workshop businesses,621,66,E+,65.61,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"74,520.00",74.52,0.07
Melisa House Festival Court,3 Brand Place,Glasgow,G51 1DR,Office/Workshop,Offices and Workshop businesses,1890,57,D,57.11,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"189,000.00",189,0.19
1 Pacific Quay,,Glasgow,G51 1DZ,Office/Workshop,Offices and Workshop businesses,3360,44,C,43.53,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"403,200.00",403.2,0.4
MEDIUS BUILDING,60 PACIFIC QUAY,GLASGOW,G51 1DZ,Office/Workshop,Offices and Workshop businesses,2860,35,C+,35.16,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"243,100.00",243.1,0.24
THE HUB,70 PACIFIC QUAY,GLASGOW,G51 1DZ,Office/Workshop,Offices and Workshop businesses,7277,44,C,43.6,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"873,240.00",873.24,0.87
GLASGOW SCIENCE CENTRE,50 PACIFIC QUAY,GLASGOW,G51 1EA,Library/Museum/Gallery,"Non-residential Institutions: Libraries, Museums, and Galleries",13030,58,D,57.77,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"1,303,000.00","1,303.00",1.3
Kinning Park Nursing Home,,Glasgow,G51 1HA,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1155,64,E+,64.42,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"173,250.00",173.25,0.17
11 Marine Crescent,,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,151,66,E+,65.75,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,120.00",18.12,0.02
STUDIO 6,19 MARINE CRESCENT,GLASGOW,G51 1HD,Office/Workshop,Offices and Workshop businesses,52,25,B,25.26,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,860.00",2.86,0
15 MARINE CRESCENT,,GLASGOW,G51 1HD,Office/Workshop,B1 Offices and Workshop businesses,129,39,C,39.48,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"15,480.00",15.48,0.02
17 MARINE CRESCENT,,GLASGOW,G51 1HD,Retail/Financial,A1/A2 Retail and Financial/Professional services,136,90,F+,89.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,320.00",16.32,0.02
21 MARINE CRESCENT,,GLASGOW,G51 1HD,Storage/Distribution,Storage or Distribution,147,22,B+,21.91,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,410.00",4.41,0
Studio 1,19 Marine Crescent,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,58,67,E+,67.41,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,960.00",6.96,0.01
STUDIO 2,19 MARINE CRESCENT,GLASGOW,G51 1HD,Office/Workshop,Offices and Workshop businesses,54,76,E,76.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,480.00",6.48,0.01
9 Marine Crescent,,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,93,97,F,97.14,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,160.00",11.16,0.01
77 MAVISBANK GARDENS,,GLASGOW,G51 1HF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,354,113,G,112.91,None,Grid supplied,Oil,Heating and Natural Ventilation,,"53,100.00",53.1,0.05
249 GOVAN ROAD,,GLASGOW,G51 1HJ,Office/Workshop,Offices and Workshop businesses,5411,19,B+,19.35,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"297,605.00",297.61,0.3
Argyll House,209 Govan Road,Glasgow,G51 1HJ,Retail/Financial,Retail/Financial and Professional services,253,103,G,103.04,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,360.00",30.36,0.03
22 Govan Road,,Glasgow,G51 1HS,Office/Workshop,Offices and Workshop businesses,100,70,E+,69.9,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,000.00",12,0.01
24 Govan Road,,Glasgow,G51 1HS,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,463,46,D+,45.76,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"50,930.00",50.93,0.05
54 GOVAN ROAD,,GLASGOW,G51 1JL,Office/Workshop,B1 Offices and Workshop businesses,1016,32,C+,31.81,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"86,360.00",86.36,0.09
30-32 Paisley Road West,,Glasgow,G51 1LB,Retail/Financial,Retail/Financial and Professional services,75,225,G,225.43,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"9,000.00",9,0.01
32PAISLEY ROAD WEST,,GLASGOW,G51 1LB,Retail/Financial,Retail/Financial and Professional services,88,100,F,100.43,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,560.00",10.56,0.01
2 Paisley Rd West,,Glasgow,G51 1LE,Restaurant/Cafes/takeaway,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,763,345,G,345.18,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"91,560.00",91.56,0.09
21 PAISLEY ROAD WEST,,GLASGOW,G51 1LF,Retail/Financial,Retail/Financial and Professional services,290,42,C,42.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"34,800.00",34.8,0.03
27 PAISLEY ROAD WEST,,GLASGOW,G51 1LF,Retail/Financial,Retail/Financial and Professional services,267,102,G,102.1,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"32,040.00",32.04,0.03
387 Paisley Road West,,Glasgow,G51 1LR,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,36,436,G,435.73,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"4,320.00",4.32,0
UNIT 1,417 PAISLEY ROAD WEST,GLASGOW,G51 1LS,Retail/Financial,Retail/Financial and Professional services,70,115,G,115.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"8,400.00",8.4,0.01
319 Paisley Road West,,Glasgow,G51 1LU,Retail/Financial,Retail/Financial and Professional services,31,173,G,173.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,720.00",3.72,0
375 Paisley Road West,,Glasgow,G51 1LX,Retail/Financial,Retail/Financial and Professional services,47,175,G,174.79,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,640.00",5.64,0.01
253 Paisley Road West,,Glasgow,G51 1NB,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,158,66,E+,65.58,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,700.00",23.7,0.02
233 PAISLEY ROAD WEST,,GLASGOW,G51 1NE,Retail/Financial,Retail/Financial and Professional services,105,20,B+,19.9,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,775.00",5.78,0.01
205 PAISLEY ROAD WEST,,GLASGOW,G51 1NE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,98,249,G,249.31,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,760.00",11.76,0.01
50 CLIFFORD LANE,,GLASGOW,G51 1NR,General Industrial,General Industrial and Special Industrial Groups,325,42,C,42.08,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"39,000.00",39,0.04
6 PERCY STREET,,GLASGOW,G51 1NZ,Retail/Financial,Retail/Financial and Professional services,32,23,B,22.7,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,760.00",1.76,0
40 GOWER STREET,,GLASGOW,G51 1PH,Office/Workshop,Offices and Workshop businesses,547,116,G,115.53,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"65,640.00",65.64,0.07
STV STUDIOS,120 GOVAN ROAD,GLASGOW,G51 1PQ,Office/Workshop,Offices and Workshop businesses,6867,14,A,13.83,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"206,010.00",206.01,0.21
4 Pacific Quay,,Glasgow,G51 1PQ,Office/Workshop,Offices and Workshop businesses,7621,44,C,44.05,None,Grid supplied,Natural Gas,Mixed-mode with Mechanical Ventilation,,"914,520.00",914.52,0.91
UNIT 4000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,398,55,D,55.2,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"39,800.00",39.8,0.04
"Building 4000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,Office/Workshop,Offices and Workshop businesses,187,35,C+,34.61,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,895.00",15.9,0.02
UNIT 11000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,Offices and Workshop businesses,729,45,C,45.32,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"87,480.00",87.48,0.09
"Building 9000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,Office/Workshop,Offices and Workshop businesses,364,34,C+,33.66,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,940.00",30.94,0.03
UNIT 5000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,396,55,D,54.8,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"39,600.00",39.6,0.04
Unit 8000,51 Gower Street,Glasgow,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,724,48,D+,47.73,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"72,400.00",72.4,0.07
11 NORTH GOWER STREET,,GLASGOW,G51 1PW,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,57,282,G,281.65,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,840.00",6.84,0.01
454 PAISLEY ROAD WEST,,GLASGOW,G51 1PX,Retail/Financial,Retail/Financial and Professional services,55,179,G,178.9,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"6,600.00",6.6,0.01
478 PAISLEY ROAD WEST,,GLASGOW,G51 1PX,Retail/Financial,Retail/Financial and Professional services,102,25,B,25.01,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,610.00",5.61,0.01
,423  Paisley Road West,Glasgow,G51 1PZ,Office/Workshop,B1 Offices and Workshop businesses,2923,68,E+,68.1,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"350,760.00",350.76,0.35
Bellahouston Business Centre,423 Paisley Road West,Glasgow,G51 1PZ,Office/Workshop,Offices and Workshop businesses,3437,43,C,42.63,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"412,440.00",412.44,0.41
425 Paisley Road West,,Glasgow,G51 1PZ,General Assembly/Leisure,D2 General Assembly and Leisure plus Night Clubs and Theatres,1009,43,C,43.17,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"121,080.00",121.08,0.12
675 Paisley Road West,,Glasgow,G51 1RP,Retail/Financial,Retail/Financial and Professional services,318,18,B+,17.68,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"17,490.00",17.49,0.02
517 PAISLEY ROAD WEST,,GLASGOW,G51 1RW,Hotel,Hotels,5580,179,G,178.74,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"669,600.00",669.6,0.67
Modular Classroom Riverside Primary School,Govan Campus,Glasgow,G51 2AQ,Education,D1 Non-residential Institutions - Education,142,25,B,24.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,810.00",7.81,0.01
Unit A and B,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,1422,74,E,74.05,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"42,660.00",42.66,0.04
Unit C,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,545,72,E,71.65,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"16,350.00",16.35,0.02
"Unit E,F and G",60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,1752,51,D+,51.35,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"52,560.00",52.56,0.05
10 DAVA STREET,,GLASGOW,G51 2BQ,Storage/Distribution,Storage or Distribution,3197,43,C,43.39,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"95,910.00",95.91,0.1
Unit D,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,946,72,E,72.07,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,380.00",28.38,0.03
Cartvale Nursery,Vicarfield Street,Glasgow,G51 2DJ,Education,Non-residential Institutions: Education,417,10,A,9.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"12,510.00",12.51,0.01
Unit 4A Moorpark Industrial Estate,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,253,48,D+,48.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"25,300.00",25.3,0.03
Office 1,11 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,89,69,E+,68.73,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,680.00",10.68,0.01
OFFICE 4,11 ORTON PLACE,GLASGOW,G51 2HF,Office/Workshop,Offices and Workshop businesses,277,76,E,75.57,None,Grid supplied,Natural Gas,Air Conditioning,,"33,240.00",33.24,0.03
OFFICE 2,11 ORTON PLACE,GLASGOW,G51 2HF,Office/Workshop,Offices and Workshop businesses,277,67,E+,66.69,None,Grid supplied,Natural Gas,Air Conditioning,,"33,240.00",33.24,0.03
Units 8&9,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,205,77,E,77.48,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"24,600.00",24.6,0.02
Unit 4 Moorpark Industrial Estate,15 Orton Place,Glasgow,G51 2HF,Office/Workshop,Offices and Workshop businesses,248,62,E+,62.33,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,760.00",29.76,0.03
1 Orton Place,Moorpark House,Glasgow,G51 2HF,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,159,83,F+,83.31,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,850.00",23.85,0.02
49 Orton Place,,Glasgow,G51 2HF,General Industrial,General Industrial and Special Industrial Groups,1028,38,C,38.24,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"123,360.00",123.36,0.12
Unit 5B First Floor,27 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,173,18,B+,18.13,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"9,515.00",9.52,0.01
Ground Floor,27 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,180,14,A,13.82,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"5,400.00",5.4,0.01
First Floor Pavilion 5A,25 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,175,12,A,12.34,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"5,250.00",5.25,0.01
15 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,403,11,A,11.19,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"12,090.00",12.09,0.01
Ground Floor Pavilion 5A,25 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,177,13,A,13.13,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"5,310.00",5.31,0.01
21 DAVA STREET,,GLASGOW,G51 2JA,Storage/Distribution,Storage or Distribution,3197,43,C,43.39,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"95,910.00",95.91,0.1
Moorpark Court,5 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,415,48,D+,48,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"41,500.00",41.5,0.04
3 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,174,46,D+,46,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"17,400.00",17.4,0.02
17 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,403,15,A,15.31,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,090.00",12.09,0.01
9 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,475,42,C,42.19,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"57,000.00",57,0.06
191 Broomloan Road,Ibrox,Glasgow,G51 2JE,Office/Workshop,Offices and Workshop businesses,494,40,C,39.62,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"59,280.00",59.28,0.06
UNIT C,191 BROOMLOAN ROAD,GLASGOW,G51 2JE,Office/Workshop,Offices and Workshop businesses,195,22,B+,21.81,None,Grid supplied,Other,Unconditioned,,"10,725.00",10.73,0.01
Unit 4 Davieland Court,22 Broomloan Place,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,301,88,F+,87.65,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"36,120.00",36.12,0.04
Unit 2&3 Wellfield Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,908,39,C,39.26,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"27,240.00",27.24,0.03
Unit 1 Davieland Court,Ibrox Business Park,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,348,34,C+,33.57,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,580.00",29.58,0.03
Unit 3  Invergyle Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,338,71,E,71.35,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,140.00",10.14,0.01
1 BROOMLOAN PLACE,,GLASGOW,G51 2JR,Office/Workshop,Offices and Workshop businesses,489,65,E+,64.9,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"58,680.00",58.68,0.06
Unit 2 Norwood Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,530,58,D,58,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,900.00",15.9,0.02
Unit 4,Invergyle Court,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,498,55,D,54.55,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"14,940.00",14.94,0.01
Unit 2 Roseberry Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,449,69,E+,69.46,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"13,470.00",13.47,0.01
Unit 1 Norwood Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,425,69,E+,68.6,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,750.00",12.75,0.01
Unit 2 Davieland Court,Ibrox Business Park,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,197,53,D,52.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"19,700.00",19.7,0.02
18 WATER ROW,,GLASGOW,G51 2LQ,Retail/Financial,Retail/Financial and Professional services,94,36,C+,35.75,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,990.00",7.99,0.01
22 WATER ROW,,GLASGOW,G51 2LQ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,129,126,G,126.05,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"15,480.00",15.48,0.02
6 WATER ROW,,GLASGOW,G51 2LQ,Retail/Financial,Retail/Financial and Professional services,88,35,C+,35.01,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,480.00",7.48,0.01
16 WATER ROW,,GLASGOW,G51 2LQ,Retail/Financial,Retail/Financial and Professional services,146,38,C,38.41,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"17,520.00",17.52,0.02
10 WATER ROW,,GLASGOW,G51 2LQ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,152,118,G,118.36,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,240.00",18.24,0.02
